priority,severity,code,sku,row,source,page,name,price,message,suggested_action
low,warning,POSSIBLE_MERGED_ROW,10925000,18,hansgrohe,2,AX Starck OHS 240x240mm chr.w.shower arm,419340,Name contains additional SKU-like token(s): 240X240MM,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,10929000,19,hansgrohe,2,AX Starck OHS 240x240mm w.ceiling conn.,362260,Name contains additional SKU-like token(s): 240X240MM,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,10942000,20,hansgrohe,99,AX Starck bath spout chrome 240x120mm,177440,Name contains additional SKU-like token(s): 240X120MM,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61039450,3787,hansgrohe,154,"Washbasin with tap hole without overflow, SmartClean 1000x480",95280,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61040450,3788,hansgrohe,154,"Washbasin Double with 2 tap holes without overflow, SmartClean 1000x480",98680,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61041450,3789,hansgrohe,154,"Washbasin without tap hole without overflow, SmartClean 1000x480",95280,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61044450,3790,hansgrohe,154,"Washbasin Double with 2 tap holes without overflow, SmartClean 1200x480",120230,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61045450,3791,hansgrohe,154,"Washbasin Double without tap hole without overflow, SmartClean 1200x480",112290,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61102450,3812,hansgrohe,152,"Washbasin with tap hole, without overflow, SmartClean 1000x480",121930,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61103450,3813,hansgrohe,152,"Washbasin without tap hole, without overflow, SmartClean 1000x480",121930,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61106450,3814,hansgrohe,152,"Double Washbasin with 2 tap holes, without overflow, SmartClean 1200x480",147920,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61107450,3815,hansgrohe,152,"Double Washbasin without tap holes, without overflow, SmartClean 1200x480",147920,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61109450,3816,hansgrohe,154,"Washbasin Double with tap hole without overflow, SmartClean 1200x480",112290,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61111450,3817,hansgrohe,152,"Washbasin with 2 tap holes, without overflow, SmartClean 1000x480",121930,Name contains additional SKU-like token(s): 1000X480,Likely dimension token in name; validate quickly and keep if product title is correct.
low,warning,POSSIBLE_MERGED_ROW,61113450,3818,hansgrohe,152,"Double Washbasin with tap hole, without overflow, SmartClean 1200x480",147920,Name contains additional SKU-like token(s): 1200X480,Likely dimension token in name; validate quickly and keep if product title is correct.
